row.names,Length,Diameter,Height,Whole.wt,Shucked.wt,Viscera.wt,Shell.wt,Rings
1942,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
503,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
312,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
655,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
1004,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
2522,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,9
1558,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
2622,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
3122,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7
607,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
205,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
3065,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9
30,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
2652,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8
1474,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
3043,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
2108,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
2850,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,10
343,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
1850,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7
1593,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
1555,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
660,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
617,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
685,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
3123,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8
2904,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
2762,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
2535,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12
2270,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12
649,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
521,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
1042,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
1611,0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
426,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
2393,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10
1184,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8
963,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
1872,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
717,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8
1573,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
1359,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11
196,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
1258,0.43,0.34,0,0.428,0.2065,0.086,0.115,8
891,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
1121,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
2490,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
844,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
2595,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
1916,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11
2815,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4
135,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
21,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
1983,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11
1956,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
2593,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7
1438,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,6
842,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
322,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
1200,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
2180,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14
2632,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6
2911,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
1166,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
1204,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12
1312,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
801,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
1362,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,9
1731,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11
812,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
2233,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9
2418,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
1387,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
455,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
2168,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
1485,0.59,0.465,0.15,1.151,0.613,0.239,0.2515,9
3042,0.575,0.47,0.15,0.9785,0.4505,0.196,0.276,9
2171,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
122,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
2906,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
1378,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
2085,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
754,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
3110,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7
1207,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11
350,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
1063,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
2199,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6
2373,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
2504,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,6
2597,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
2726,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,8
2095,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7
2112,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
52,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
2173,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5
987,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
2339,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
526,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
653,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
2128,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7
663,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
762,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
1001,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11
2858,0.665,0.515,0.19,1.6385,0.831,0.3575,0.371,11
715,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9
2889,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8
1856,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,9
1431,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4
2881,0.475,0.375,0.11,0.494,0.211,0.109,0.1545,8
2297,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
1727,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12
2246,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9
810,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
2094,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
352,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
2728,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
2463,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8
2975,0.745,0.575,0.2,1.884,0.954,0.336,0.495,12
576,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11
3029,0.515,0.385,0.125,0.572,0.237,0.1435,0.165,7
536,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11
2608,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9
918,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
2239,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
2617,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9
2494,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8
1903,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11
3062,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10
1578,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
454,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11
1299,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10
2861,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
433,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18
2408,0.625,0.43,0.175,1.411,0.572,0.297,0.395,12
674,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
1669,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
193,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
1252,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
945,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
1404,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
1699,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
1449,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
1827,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7
973,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
1889,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
367,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
1142,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10
2685,0.625,0.49,0.155,1.115,0.484,0.277,0.3095,9
2639,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,7
1050,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10
400,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11
1518,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10
2566,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8
1497,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9
2973,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
28,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
2869,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,7
1921,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9
1066,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6
432,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
1137,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7
3027,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
1788,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8
2117,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
423,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
1012,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
1661,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
862,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12
2078,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
759,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
25,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
1127,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9
1178,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
1756,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
1554,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
1978,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13
1301,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
445,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
959,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
2875,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
1549,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
2539,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15
413,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11
1837,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
108,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10
1335,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
241,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
873,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
2301,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10
1919,0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11
1747,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
670,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13
1071,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
860,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8
1757,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
1817,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
1524,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
2213,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,13
2147,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
2043,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8
2583,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,6
1337,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
2241,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12
2864,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11
372,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16
251,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
2695,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,10
1533,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
867,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
1196,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
1302,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
18,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
2319,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
2498,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12
1692,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12
2374,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
281,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
2665,0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,9
431,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
2810,0.71,0.565,0.2,1.601,0.706,0.321,0.45,11
1496,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8
1219,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5
2081,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
2447,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14
2540,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13
277,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
1386,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
1380,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10
2259,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
2589,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8
60,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
1310,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10
2386,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
1297,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9
577,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10
2456,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6
995,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8
198,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
3082,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,14
2521,0.525,0.425,0.19,0.872,0.4625,0.1725,0.199,9
2114,0.385,0.29,0.09,0.232,0.0855,0.0495,0.08,7
2051,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
2367,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19
941,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
467,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12
1250,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5
417,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
3006,0.68,0.54,0.21,1.7885,0.8345,0.408,0.437,13
2205,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
447,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
3086,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6
805,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10
1246,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
1659,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
2698,0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,10
1742,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
1346,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
737,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
2314,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16
1735,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12
389,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
2612,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8
2915,0.59,0.46,0.125,0.755,0.334,0.15,0.238,9
1232,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7
2190,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
573,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20
2207,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5
519,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
1397,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
51,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
2248,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9
1537,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5
2523,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11
516,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6
2345,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21
133,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
36,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8
2725,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8
1572,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
336,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11
1577,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,8
905,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
1191,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
316,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8
1529,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13
1910,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9
2417,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18
777,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15
2944,0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10
282,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
769,0.55,0.43,0.155,0.785,0.289,0.227,0.233,11
1429,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14
1724,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
2670,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
1873,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9
186,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
136,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
2404,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,10
1408,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
